,backside,Kanji,Keyword,Meaning,Alternative Meaning,On readings,Kun readings,Emphasis***,dummy_kana,Level,ONmem,KUNmem,MEANINGmem,Common words,KUNexample,Extra words,Old level,Nanori,Example,Components,No of strokes,Radical,Traditional form,Classification,Koohi Story 1,Koohi Story 2,RTK index (new),Tag,waniplus_level,waniplus_id,waniplus_srs
瘍,ヨウ　かさ　できもの　swelling,瘍,swelling,swelling,"boil, tumor",ヨウ,かさ,onyomi,,69,,,,"しゅようcommon 【腫瘍】tumor;  tumour;  neoplasm;  neoplasia;  —. 例文
かいようcommon 【潰瘍】ulcer  —. 例文
いかいようcommon 【胃潰瘍】stomach ulcer",,,,,,疒: trailing sickness; sick radical (no. 104)<br>昜: open; sun,14,疒,(none),形声 Phonetic,"His sickness caused numerous carbuncles, which when emptied by the doctors also emptied his piggy bank.",The witches piggy bank was cursed with a spell causing any thief who stole it's contents to fall ill. The illness would result in the victim being covered from head to toe in a mass of carbuncles. Crime doesn't pay!,1817,JLPT.N0 gradeS Kanji_Body_Health.Illness,,,
拉,"ラ　ひし.ぐ　ひしゃ.げる　kidnap, crush",拉,kidnap,kidnap,"Latin, crush",ラ、ラツ、ロウ,ひし、らっ、くだ,onyomi,,69,,,,"らーめんcommon · ラーメンcommon 【拉麺 · 老麺】ramen (Chinese-style noodles) 
ラテンcommon【拉丁 · 羅典】Latin (language)  
らちもんだいcommon 【拉致問題】abduction issue (esp. of those Japanese abducted by North Korea) 例文
うちひしがれるcommon 【打ち拉がれる · 打ちひしがれる】to be stricken (e.g. with grief);  to be battered (e.g. by disasters) ",,,,,,手: hand<br>立: stand up; rise; set up; erect,8,手,(none),形声 Phonetic,He quickly yanked his fingers out of the vase. Maybe no one noticed the attempt to steal the cookies...,He yanked his finger out of the vase upon discovering it had a venus fly trap in it.,696,JLPT.N0 gradeS,,,
咽,"イン　エツ　エン　のど　の.む　むせ.ぶ　throat, smothered",咽,windpipe,throat,"choked, smothered, stuffy",イン、エン、エツ,のど、の、むせ,onyomi,,69,,,,"のどcommon【喉 · 咽 · 吭】throat 
じびいんこうかcommon 【耳鼻咽喉科】otorhinolaryngology;  ear, nose and throat",,,,,,口: mouth<br>因: cause; factor; be associated with; depend on; be limited to,9,口,(none),形声 Phonetic,"You can´t breathe very well, so the doc looks inside your mouth to find the cause. ""Oh, I see the cause of your windpipe blockage. There´s a St Bernard penned up in there!"".","Imagine a group of windpipes chatting: “That mouth is the cause of all my problems, you know, always breathing in germs, etc.”.",628,JLPT.N0 gradeS Kanji_Body_Head.Neck,,,
緻,チ　こまか.い　fine,緻,fine,fine,(i.e. not coarse),チ,こまか,onyomi,,69,,,,"せいちcommon 【精緻】delicate;  minute;  subtle
ちみつcommon 【緻密】minute;  fine;  delicate;  accurate;  elaborate",,,,,,糸: thread<br>致: doth; do; send; forward; cause; exert; incur; engage,16,糸,(none),形声 Phonetic,"THREAD, DOTH. fine THREADS DOTH make fine cloth. Think of a Shakespearean character stating this to someone else. Picture fine threads on one side of the picture and an aftershot of a fine cloth.","fine: If the thread doth fit through the eye of the needle, it is fine thread indeed.",1437,JLPT.N0 gradeS kanjifreq2001-2500 Kanji_Physical.Properties_Miscellaneous,,,
畏,イ　おそ.れ　かしこ.い　かしこ.まる　fear,畏,apprehensive,fear,"majestic, graciously, be apprehensive",イ,おそ、かしこ、かしこま,kunyomi,,69,,,,"おそれcommon 【恐れ · 虞 · 畏れ · 怖れ】fear;  horror;  anxiety;  concern;  uneasiness 例文
かしこまりましたcommon 【畏まりました】certainly!
畏い【かしこい】wise; clever; smart
畏まる【かしこまる】to obey respectfully; to humble oneself; to sit straight (upright, respectfully, attentively)",,"畏怖【いふ】awe; fear; fright
畏敬【いけい】reverence; awe; respect
畏縮【いしゅく】wince; cower; recoil
畏れる【おそれる】to fear; to be afraid of
神を畏れる【かみをおそれる】to fear God
畏い【かしこい】wise; clever; smart
畏まりました【かしこまりました】certainly!
畏まる【かしこまる】to obey respectfully; to humble oneself; to sit straight (upright, respectfully, attentively)",,,畏まりました(かしこまりました): certainly!,田: rice field; rice paddy<br>一: one; one radical (no.1),9,田,(none),象形 Pictographic,"The girl was apprehensive about going home, having lost her precious hairpin in the paddy field. But then, it wasn't like she'd lost both, just ONE...","I ran out of Q-tips...then I noticed a hairpin lying on the counter that was about the same size as a Q-tip. I was apprehensive at first, but I thought ""what the hell"". Unfortunately I ended up stabbing my brain!",2069,JLPT.N0 gradeS kanjifreq2001-2500 Kanji_Emotion.Sense_Emotion,,,
訃,フ　つ.げる　しらせ　news of death,訃,obituary,obituary,,フ,しらせ,onyomi,,69,,,,ふほうcommon 【訃報】news of a person's death;  obituary,,,,,,言: say<br>卜: divination,9,言,(none),形声 Phonetic,"Obituary. As a famous man lay dying, the media were already preparing the words of his obituary until a magician, with a wave of his wand, restored the man back to health.","In the Harry Potter world, obituary's are magical. If you wave your wand over them you can hear the person's last words. Creepy!",363,JLPT.N0 gradeS kanjifreq2001-2500 Kanji_Human.Activities_Communication,,,
冥,"メイ　ミョウ　くら.い　dark, Hades, divine",冥,Hades,dark,,メイ、ミョウ,くら,onyomi,,69,,,,"くらいcommon 【冥い】dark;  gloomy;  / dark (in colour);  dull / depressed;  dispirited / sorrowful;  bitter (as in a dark past) / unclear;  unfamiliar;  unknown
めいそうcommon 【冥想】meditation;  contemplation 例文
みょうりcommon 【冥利】providence;  luck;  favor;  favour;  advantage",,,,,,冖: wa-shaped crown radical (no. 14)<br>日: day; sun; Japan; counter for days<br>六: six,10,冖,(none),象形 Pictographic,"The beast of hades one day will wear a crown, and the number of the beast is 666.","In Hades you have to work six days a week before crowning it with something vaguely resembling a weekend. Oh wait, that´s Japan.",322,JLPT.N0 gradeS kanjifreq2001-2500 Kanji_Nature_Weather,,,
恣,シ　ほしいまま　selfish,恣,selfish,selfish,arbitrary,シ,ほしいまま,onyomi,,69,,,,しいcommon 【恣意 · 肆意】arbitrariness,,,,,,次: next; order; sequence<br>心: heart; mind; spirit; heart radical (no. 61),10,心,(none),形声 Phonetic,"A selfish person doesn't care about the next person's heart, only their own.",Selfish lover breaks your heart and moves on to the next lover. (And yawns with a heart of ice at your suffering).,641,JLPT.N0 gradeS kanjifreq2001-2500,,,
填,テン　うず.める　は.まる　ふさ.ぐ　fill in,填,stuff up,fill in,,テン、チン,は、うず、しず、ふさ,onyomi,,69,,,,"うずめるcommon 【填める】to cover;  to bury (e.g. one's face in hands);  to submerge / to fill (completely);  to stuff;  to pack;  to cram;  to fill up 例文
はまるcommon · ハマるcommon 【填まる】to fit;  to get into;  to go into; / to be fit for (a job, etc.);  to be suited for;  to satisfy (conditions); / to fall into;  to plunge into;  to get stuck;  to get caught; / to be deceived;  to be taken in;  to fall into a trap; / to be addicted to;  to be deep into;  to be crazy about;  to be stuck on; 
ほてんcommon 【補填】compensating;  making up for;  supplementation; ",,,,まき,,土: soil; earth; ground; Turkey<br>真: true; reality; Buddhist sect,,,(none),形声 Phonetic,"""In a hole in the ground, the body of the victim was placed. And then the killer stuffed it up so that the truth would not be found out, he hoped.""",I stuffed up his mouth with dirt to keep the truth from coming out.,166,JLPT.N0 gradeS,,,
摯,シ　seriousness,摯,seriousness,seriousness,gift,シ,いた,onyomi,,69,,,,しんしcommon 【真摯】sincerity;  earnestness;,,,,,,執: tenacious; take hold; grasp; take to heart<br>手: hand,15,手,(none),形声 Phonetic,"When you clasp something you tenaciously 執 hold on to it with your hand 手, te. 真摯、しんし, sincerity, earnestness.","This kanji shows Santa Claus (refer to frame tenacious (#1506)) clasping the reins of his deers with his hands, holding onto dear life as he almost falls off his carriage.",1624,JLPT.N0 gradeS kanjifreq2001-2500,,,
斑,"ハン　まだら　ぶち　むら　ふ　spot, blemish",斑,speckled,spot,"blemish, speck, patches",ハン,まだら、ふ、むら,kunyomi,,69,,,,"むらcommon ・ぶち · まだら【斑】unevenness;  inconsistency;  erraticness;  irregularity;  —Usually written using kana alone. 例文
いかるcommon · イカル 【斑鳩 · 鵤】Japanese grosbeak (Eophona personata) ",,,,い,斑(むら): unevenness; inconsistency; erraticness; irregularity<br>斑(ぶち): spots; speckles; mottles,玉: jewel; ball<br>文: sentence; literature; style; art; decoration; figures; plan; literary radical (no. 67)<br>玉: jewel; ball,12,文,(none),会意 Compound Ideographic,"Speckled is a pattern, like plaid, but with lots of little balls all over the place.","The sentences exchanged between the two kings got more and more heated, finally leading to a fight which left the whole area speckled with blood.",1865,JLPT.N0 gradeS kanjifreq2001-2500,,,
怨,エン　オン　うら.む　grudge,怨,grudge,grudge,"show resentment, be jealous",オン、エン、ウン,うら、うらみ,onyomi,,69,,,,"うらみcommon 【恨み · 憾み · 怨み】resentment;  grudge;  malice;  bitterness / matter for regret;  regret  —Esp. 憾み.
おんねんcommon 【怨念】grudge;  malice;  hatred
うらむcommon 【恨む · 怨む · 憾む】to resent;  to curse;  to feel bitter;  to blame;  to bear a grudge / to regret  —Esp. 憾む.
おんりょうcommon 【怨霊】revengeful ghost;  apparition",,"私怨　しえん
宿怨　しゅくえん
怨恨　えんこん",,,,夕: evening<br>卩: seal radical (no. 26)<br>心: heart; mind; spirit; heart radical (no. 61),9,心,(none),形声 Phonetic,I couldn´t drop my grudge against him. So I put a severed pig´s heart in his mailbox. He got the message.,To hold a grudge is actually the act of keeping negative feelings you received in the mailbox of your heart.,1524,JLPT.N0 gradeS kanjifreq2001-2500 Kanji_Emotion.Sense_Emotion,,,
膳,ゼン　かしわで　small low table for offering,膳,dining tray,small low table,tray,ゼン、セン,かしわ、すす、そな,onyomi,,69,,,,ぜんcommon 【膳】small dining table (usu. for a single person);  serving tray (with legs) / meal;  food;  serving; ,,,,"ぜ, よし",膳(ぜん): (1) small dining table (usu. for a single person); serving tray (with legs) (2) meal; food; serving (3) counter for bowlfuls of rice; counter for pairs of chopsticks,肉: meat<br>善: virtuous; good; goodness,16,肉,(none),形声 Phonetic,Some people insist that the serving maids who bring in the dining trays are especially virtuous and never let any man touch their flesh.,The virtuous vegan will not touch this dining tray because it has had a piece of meat on it.,1113,JLPT.N0 gradeS kanjifreq2001-2500 Kanji_Manufactured.Item,,,
臼,"キュウ　うす　mortar, molar",臼,mortar,mortar,,キュウ、グ,うす、うすづ,kunyomi,,69,,,,"うすcommon 【臼 · 碓 · 舂】millstone;  mortar
脱臼　だっきゅう
臼歯　きゅうし・うすば",,,,,,"臼: mortar, mortar radical (no. 134)",6,臼,(none),象形 Pictographic,I removed all the back to back staples and grinded them in a mortar to create metal dust.,"The mortar bomb exploded, ripping the sun in half.",1531,JLPT.N0 gradeS kanjifreq2001-2500 Kanji_Manufactured.Item,,,
捉,そく　とら.える　capture,捉,nab,capture,catch,ソク、サク,とら,kunyomi,,69,,,,"つかむcommon 【捉む】to seize;  to catch;  to grasp;  to grip;  to grab;  to hold;  to catch hold of;  to lay one's hands on;  to clutch / to understand;  to grasp;  to comprehend
つかまるcommon 【捉まる】to be caught;  to be arrested  —Usu. 捕まる. / to hold on to;  to grasp;  —Usually written using kana alone.  Usu. 掴まる. / to find (e.g. proof);  to get (e.g. a taxi); / to be detained by
とらえるcommon 【捉える】to seize;  to capture;  to arrest / to grasp;  to perceive;  to treat (as) 例文
とらわれるcommon 【捉われる】to be caught;  to be captured;  to be taken prisoner;  to be arrested;  to be apprehended / to be seized with (fear, etc.);  to be a slave to;  to stick to;  to adhere to;  to be swayed by
つかまえるcommon 【捉まえる】to catch;  to arrest;  to seize",,"把捉　はそく
捕捉　ほそく",,,,手: hand<br>足: leg; foot; be sufficient; counter for pairs of footwear,10,手,(none),形声 Phonetic,I felt a finger on my leg as someone tried to nab my wallet.,"Fingers nabs Davy Jone´s wooden leg: Argh! Bring me back me leg, ya scurvy dog!",1374,JLPT.N0 gradeS kanjifreq1501-2000,,,
妖,"ヨウ　あや.しい　なま.めかしい　わざわ.い　charming, calamity",妖,bewitched,bewitching,"attractive, calamity",ヨウ,あや、なま、わざわ,onyomi,,69,,,,"ようかいcommon 【妖怪】ghost;  apparition;  phantom;  spectre;  specter;  demon;  monster;  goblin 例文
ようせいcommon 【妖精】fairy;  sprite;  elf 例文
あやしいcommon 【怪しい · 妖しい】charming;  bewitching;  mysterious;  → いろっぽい
ようえんcommon 【妖艶】fascinating;  voluptuous;  bewitching",,,,,,女: woman; female<br>夭: early death; calamity,7,女,(none),形声 Phonetic,"If you don´t want to get bewitched (and who would?), then avoid any woman you see carrying what might appear to be a sapling. It´s really a wand in disguise, and if you´re not aware you might get bewitched.","I was bewitched by the woman fairy (like an angel, but not as tall).",458,JLPT.N0 gradeS kanjifreq1501-2000,,,
蔽,ヘイ　おお.う　cover,蔽,cover over,cover,"shade, mantle, capsize, be ruined",ヘイ、ヘツ、フツ,おお,kunyomi,,69,,,,"おおうcommon 【覆う · 被う · 掩う · 蔽う · 蓋う】to cover;  to hide;  to conceal;  to wrap;  to disguise 例文
おおいcommon 【覆い · 被い · 蔽い · 掩い】cover;  mantle;  shroud;  hood",,"隠蔽　いんぺい
掩蔽　えんぺい
遮蔽　しゃへい",,,,艸: grass; plants; grass radical (no. 140)<br>敝: be worn-out; be dilapidated; be defeated,15,艸,(none),形声 Phonetic,You cover over the shredder with flowers when the FBI comes a-knockin´.,The taskmaster arranges flowers to cover over the rags she makes us clean with.,1119,JLPT.N0 gradeS,,,
